Agency Code,Product Number,Recommendation Target Agency/Organization,Engagement Code,Recommendation Text,Status Comments
014,GAO-11-149,Department of State,311046,"To improve implementation of iPost at State, the Secretary of State should direct the Chief Information Officer to develop, document, and implement procedures for validating data and reviewing and reconciling output in iPost to ensure data consistency, accuracy, and completeness.", 
014,GAO-11-149,Department of State,311046,"To improve implementation of iPost at State, the Secretary of State should direct the Chief Information Officer to develop, document, and maintain an iPost configuration management and test process.", 
014,GAO-11-149,Department of State,311046,"To improve implementation of iPost at State, the Secretary of State should direct the Chief Information Officer to document existing controls intended to ensure the timeliness, accuracy, and completeness of iPost data.", 
014,GAO-11-149,Department of State,311046,"To improve implementation of iPost at State, the Secretary of State should direct the Chief Information Officer to implement procedures to consistently notify senior managers at sites with low security grades of the need for corrective actions, in accordance with department criteria.", 
014,GAO-11-149,Department of State,311046,"To improve implementation of iPost at State, the Secretary of State should direct the Chief Information Officer to incorporate the results of iPost's monitoring of controls into key security documents such as the OpenNet security plan, security assessment report, and plan of action and milestones.", 
007,GAO-11-150,Department of Defense,310679,"To ensure that NGEN capabilities are acquired in the most cost-effective manner, the Secretary of Defense should direct the Secretary of the Navy to immediately limit further investment in NGEN until this review has been conducted and a decision on how best to proceed has been reported to the Secretary of Defense and congressional defense committees.", 
007,GAO-11-150,Department of Defense,310679,"To ensure that NGEN capabilities are acquired in the most cost-effective manner, the Secretary of Defense should direct the Under Secretary of Defense for Acquisition, Technology, and Logistics to conduct an interim NGEN milestone review. At a minimum, this review should ensure that DON pursues the most advantageous acquisition approach, as evidenced by a meaningful analysis of all viable alternative acquisition approaches, to include for each alternative reliably derived cost estimates and metrics-based operational effectiveness analyses. In addition, the review should consider existing performance shortfalls and known risks, including those discussed in this report.", 
007,GAO-11-150,Department of Defense,310679,"To facilitate implementation of the acquisition approach resulting from the review, the Secretary of Defense should direct the Secretary of the Navy to ensure that future NGEN gate reviews and decisions fully reflect the state of the program's performance and its exposure to risks.", 
007,GAO-11-150,Department of Defense,310679,"To facilitate implementation of the acquisition approach resulting from the review, the Secretary of Defense should direct the Secretary of the Navy to ensure that the NGEN integrated master schedule substantially reflects the key schedule estimating practices.", 
007,GAO-11-902,Department of Defense: Department of the Air Force,310956,"To ensure that the military departments establish commitments to fully develop and effectively manage their enterprise architectures, the Secretaries of the Air Force, Army, and Navy each should expeditiously provide to the congressional defense committees a plan that identifies milestones for their respective department's full satisfaction of all of our Enterprise Architecture Management Maturity Framework elements. In the event that a military department does not intend to fully satisfy all elements of our framework, the plan should include a rationale for why the department deems any such element(s) to be not applicable.","In July 2014, the Air Force&#39;s Acting Deputy Chief, Enterprise Architecture, stated that the department is developing a plan to address this recommendation."
007,GAO-12-791,Department of Defense: Department of the Air Force,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should fully establish an approach for measuring enterprise architecture outcomes, including a documented method (i.e., steps to be followed) and metrics that are measurable, meaningful, repeatable, consistent, actionable, and aligned with the agency's enterprise architecture's strategic goals and intended purpose.","The Department of the Air Force has not yet implemented this recommendation. According to an August 2013 draft plan, the department will complete development of a metrics program to assess the value of its architecture by June 2019."
007,GAO-12-791,Department of Defense: Department of the Air Force,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should periodically measure and report enterprise architecture outcomes and benefits to top agency officials (i.e., executives with authority to commit resources or make changes to the program) and to OMB.","The Department of the Air Force has not yet implemented this recommendation. According to an August 2013 draft plan, the department will complete the development of its architecture metrics program and report results to its Information Technology Governance Executive Board by June 2019."
007,GAO-11-902,Department of Defense: Department of the Army,310956,"To ensure that the military departments establish commitments to fully develop and effectively manage their enterprise architectures, the Secretaries of the Air Force, Army, and Navy each should expeditiously provide to the congressional defense committees a plan that identifies milestones for their respective department's full satisfaction of all of our Enterprise Architecture Management Maturity Framework elements. In the event that a military department does not intend to fully satisfy all elements of our framework, the plan should include a rationale for why the department deems any such element(s) to be not applicable.","According to an official from the Army Architecture Integration Center, the Army is developing a plan based on GAO&#39;s Enterprise Architecture Management Maturity Framework. However, as of August 2014, the plan is still awaiting final approval. This official stated that approval of the plan is expected to occur by the end of fiscal year 2014."
007,GAO-12-791,Department of Defense: Department of the Army,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should fully establish an approach for measuring enterprise architecture outcomes, including a documented method (i.e., steps to be followed) and metrics that are measurable, meaningful, repeatable, consistent, actionable, and aligned with the agency's enterprise architecture's strategic goals and intended purpose.","The Department of the Army has taken steps to address the recommendation We reported in September 2012 that of the department's three segment architectures, the Network segment had established metrics and a method to measure architecture-related outcomes, but the Generating and Operating Force segments had yet to establish metrics and methods. Since then, the Generating Force segment has developed a draft Army Business Management Strategy that includes metrics to measure the number of business systems retired over 5 years and costs savings and avoidance through use of the Army's business Enterprise architecture. However, the department has yet to finalize its strategy or to document the steps to measure the metrics. In addition, the Operating Force segment has yet to establish metrics to measure enterprise architecture outcomes."
007,GAO-12-791,Department of Defense: Department of the Army,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should periodically measure and report enterprise architecture outcomes and benefits to top agency officials (i.e., executives with authority to commit resources or make changes to the program) and to OMB.","The Department of the Army has yet to fully implement the recommendation. With regard to the Generating Force segment, the department reported in its draft Army Business Management Strategy the number of systems retired in 2013 through use of its architecture. However, as of November 2013, the strategy had yet to be approved and final metrics had yet to be officially reported using this strategy. With regard to the Network and Operating Force segments, the Army has yet to report enterprise architecture outcomes."
007,GAO-11-902,Department of Defense: Department of the Navy,310956,"To ensure that the military departments establish commitments to fully develop and effectively manage their enterprise architectures, the Secretaries of the Air Force, Army, and Navy each should expeditiously provide to the congressional defense committees a plan that identifies milestones for their respective department's full satisfaction of all of our Enterprise Architecture Management Maturity Framework elements. In the event that a military department does not intend to fully satisfy all elements of our framework, the plan should include a rationale for why the department deems any such element(s) to be not applicable.","In August 2014, an official from the Office of the Department of the Navy Chief Information Officer stated that the department is developing a plan that will address many of the core elements of GAO&#39;s Enterprise Architecture Management Maturity Framework. However, the official did not indicate when the department expects to complete the plan."
029,GAO-11-262,Department of Veterans Affairs,311232,"To better ensure that the Dashboard provides accurate cost and schedule performance ratings, the Secretary of the Department of Veterans Affairs direct the CIO to ensure Medical Legacy investment data submitted to the Dashboard are consistent with the investment's internal performance information.","The Department of Veterans Affairs generally concurred with this recommendation and has since taken initial steps to submit updated performance data to the Dashboard. Specifically, over a 12-month period from September 2012 to August 2013, the department updated the performance data for the Medical Legacy investment five times. However, more frequent updates are needed to determine whether the IT Dashboard information is consistent with the investment&#39;s internal performance information. We will continue to monitor the department&#39;s actions to provide updated information to the Dashboard regarding this investment."
029,GAO-11-262,Department of Veterans Affairs,311232,"To better ensure that the Dashboard provides accurate cost and schedule performance ratings, the Secretary of the Department of Veterans Affairs direct the CIO to work with Medical Legacy officials to comply with OMB's guidance on updating investment cost and schedule data on the Dashboard at least monthly.","The Department of Veterans Affairs generally concurred with this recommendation and has since taken initial steps to submit updated performance data to the Dashboard. Specifically, from March 2013, when VA restored its ability to update the Dashboard, to June 2014, the department updated the performance data for the Medical Legacy investment five times. However, more frequent updates are needed to determine whether the IT Dashboard information is consistent with the investment&#39;s internal performance information. We will continue to monitor the department&#39;s actions to provide updated information to the Dashboard regarding this investment."
029,GAO-11-262,Department of Veterans Affairs,311232,"To better ensure that the Dashboard provides accurate cost and schedule performance ratings, the Secretary of the Department of Veterans Affairs should direct the CIO to comply with OMB's guidance on updating the CIO rating as soon as new information becomes available that affects the assessment of a given investment, including when an investment is in the process of a rebaseline.","The Department of Veterans Affairs (VA) generally concurred with this recommendation and has since taken initial steps to update its chief information officer (CIO) ratings. While VA did not update its CIO ratings data from September 2011 to March 2013, the department has updated its CIO ratings an average of six times for its 24 investments since March 2013. In addition, VA has updated the information for an investment that was in the process of a rebaseline. For example, in June 2013, VA noted that its Medical Legacy investment was baselined in February 2013 when a sub-project was removed due to change in funding. However, in the past year only 4 of the 24 were updated on a monthly basis. We will continue to monitor the department&#39;s Dashboard updates."
007,GAO-12-791,Department of Defense: Department of the Navy,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should fully establish an approach for measuring enterprise architecture outcomes, including a documented method (i.e., steps to be followed) and metrics that are measurable, meaningful, repeatable, consistent, actionable, and aligned with the agency's enterprise architecture's strategic goals and intended purpose.","The Department of the Navy has not yet implemented this recommendation. An official with the Department of the Navy's Office of the Chief Information Officer stated that the department had recently established metrics to measure achievement of its objectives related to information management/information technology and cyberspace strategic objectives for fiscal years 2014 through 2018, and that enterprise architecture is part of a comprehensive approach to assessing progress in achieving cost saving goals. However, the department has yet to establish metrics and a method for measuring architecture outcomes. "
007,GAO-12-791,Department of Defense: Department of the Navy,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should periodically measure and report enterprise architecture outcomes and benefits to top agency officials (i.e., executives with authority to commit resources or make changes to the program) and to OMB.","The Department of the Navy has not yet implemented this recommendation. According to an official with the office of the Department of the Navy Chief Information Officer, the department's enterprise architecture is part of a comprehensive approach for assessing progress towards establishing goals and objectives. However, the department has yet to establish metrics for measuring and reporting outcomes attributed to architecture."
016,GAO-11-262,Social Security Administration,311232,"To better ensure that the Dashboard provides accurate cost and schedule performance ratings, the Commissioner of the Social Security Administration should direct the CIO to ensure that data submissions to the Dashboard include accurate investment information for all required fields.","The Social Security Administration (SSA) agreed with our recommendation and, in May 2012, issued a Capital Planning and Investment Control (CPIC) Guide that includes policies and procedures related to updating the IT Dashboard. For example, the SSA&#39;s CPIC guide describes the Deputy Commissioner for Systems/Chief Information Officer&#39;s responsibility for evaluating and updating IT Dashboard data on a regular basis. However, the guide does not discuss any additional controls to ensure that SSA&#39;s data submissions to the IT Dashboard include accurate investment information. Further, during a recent review (GAO-14-64), we identified an issue with SSA¿s management of investment baselines, which impacted the reported schedule information. We will continue to monitor the department&#39;s progress in implementing this recommendation."
007,GAO-11-265,Department of Defense,310960,"The Secretaries of Defense and Veterans Affairs should strengthen their ongoing efforts to establish VLER and the joint IT system capabilities for the FHCC by developing plans that include scope definition, cost and schedule estimation, and project plan documentation and approval.", 
007,GAO-11-265,Department of Defense,310960,"To ensure that DOD and VA efficiently and effectively modernize their electronic health record systems to jointly address their common health care business needs, the Secretaries of Defense and Veterans Affairs should direct the Joint Executive Council to define and implement a process, including criteria that considers costs, benefits, schedule, and risks, for identifying and selecting joint IT investments to meet the departments' common health care business needs.","The Departments of Defense (DOD) and Veterans Affairs (VA) initiated, but did not sustain, two courses of action that were potentially responsive to GAO&#39;s February 2011 recommendation; thus, progress in addressing GAO&#39;s recommendation has slowed. First, the departments established the Interagency Program Office (IPO) advisory board in October 2011 to monitor the integrated electronic health record (iEHR) program&#39;s progress toward meeting cost, schedule, and performance milestones. However, the advisory board did not meet after June 2013 and was disbanded as a result of the departments&#39; decision to pursue separate modernizations of their electronic health record systems. Second, in August 2012, the departments established a working group under the Interagency Clinical Informatics Board to identify potential health IT investments for the departments to consider for joint adoption. However, the group has not met since June 2013, and according to DOD and VA officials, its activities have been suspended while the departments continue to define their separate modernization efforts and their electronic health data interoperability needs. Moreover, the group was not involved in helping the departments identify and select the separate electronic health record investments DOD and VA now plan to undertake to meet their common health care business needs. Because DOD and VA have not implemented a process for identifying and selecting joint IT investments, the departments have not demonstrated that their approach to meeting their common health care business needs has considered the costs, benefits, schedule, and risks of planned investments. As a result, VA and DOD lack reasonable assurance that they are pursuing the most cost-effective and timely course of action for delivering a fully interoperable electronic health record to provide the best possible care for service members and veterans."
007,GAO-11-265,Department of Defense,310960,"To ensure that DOD and VA efficiently and effectively modernize their electronic health record systems to jointly address their common health care business needs, the Secretaries of Defense and Veterans Affairs should direct the Joint Executive Council to further develop the departments' joint health architecture to include their planned future (i.e., ""to be"") state and a sequencing plan for how they intend to transition from their current state to the next generation of electronic health record capabilities.","The Departments of Defense (DOD) and Veterans Affairs (VA) have not further developed a joint health architecture that could guide their efforts to address their common health care business needs, as GAO recommended in February 2011. The departments had undertaken certain actions, but these have been overtaken by events or are tangential to developing the architecture; thus progress in addressing GAO&#39;s recommendation has slowed. For example, in January 2013, the Interagency Program Office (IPO) developed an Enterprise Architecture Management Plan to provide guidance for developing joint architecture products, identify architecture governance bodies and stakeholder responsibilities, and propose high-level timelines for architecture-related activities. However, according to DOD and VA officials, this plan is no longer operative because it does not reflect the departments&#39; decision to pursue separate electronic health record system modernization efforts. In addition, in December 2013 the departments revised the charter of their IPO, which describes the importance of identifying and adopting health information technology (IT) standards to seamlessly integrate DOD and VA health care record data. The charter also specifies that the IPO is responsible for working with the departments&#39; Health Architecture Review Board to ensure that both departments are appropriately synchronized and coordinated. While these recent activities are peripherally related to development of the joint health architecture, DOD and VA have not yet developed architecture artifacts that describe their planned future state and how they intend to transition to that future state. Until the departments have an understanding of the common business processes and technologies that a joint health architecture can provide, they will continue to lack an essential tool for jointly addressing their common health IT needs."
007,GAO-11-265,Department of Defense,310960,"To ensure that DOD and VA efficiently and effectively modernize their electronic health record systems to jointly address their common health care business needs, the Secretaries of Defense and Veterans Affairs should direct the Joint Executive Council to revise the departments' joint strategic plan to include information discussing their electronic health record system modernization efforts and how those efforts will address the departments' common health care business needs.","In March 2013, the Departments of Defense (DOD) and Veterans Affairs (VA) released their joint strategic plan for fiscal years 2013 through 2015, as GAO recommended in February 2011. The plan described the departments&#39; intentions to pursue a single electronic health record system. However, 1 month earlier, in February 2013, the departments abandoned the single system approach and now intend to separately modernize their electronic health record systems. As a result, the plan&#39;s discussion of the single-system effort is no longer relevant. In July 2013, the VA/DOD Joint Executive Council tasked the DOD and VA Interagency Program Office with preparing an addendum to the joint strategic plan that would reflect the departments&#39; revised joint activities, milestones, metrics, and timelines for creating an interoperable health record. Yet, while the departments have begun their separate electronic health record modernization efforts and have identified the need to make these systems interoperable, they have not revised their plan for doing so. According to DOD and VA officials, as of January 2014, a draft addendum to the joint strategic plan was being reviewed by the departments&#39; senior leaders, but the officials could not say when the addendum is to be finalized. Until DOD and VA provide a revised plan that reflects their current approach, the departments and their stakeholders may not have a shared understanding of how they intend to address their common health care business needs going forward."
029,GAO-11-265,Department of Veterans Affairs,310960,"The Secretaries of Defense and Veterans Affairs should strengthen their ongoing efforts to establish VLER and the joint IT system capabilities for the FHCC by developing plans that include scope definition, cost and schedule estimation, and project plan documentation and approval.", 
029,GAO-11-265,Department of Veterans Affairs,310960,"To ensure that DOD and VA efficiently and effectively modernize their electronic health record systems to jointly address their common health care business needs, the Secretaries of Defense and Veterans Affairs should direct the Joint Executive Council to define and implement a process, including criteria that considers costs, benefits, schedule, and risks, for identifying and selecting joint IT investments to meet the departments' common health care business needs.","The Departments of Defense (DOD) and Veterans Affairs (VA) initiated, but did not sustain, two courses of action that were potentially responsive to GAO&#39;s February 2011 recommendation; thus, progress in addressing GAO&#39;s recommendation has slowed. First, the departments established the Interagency Program Office (IPO) advisory board in October 2011 to monitor the integrated electronic health record (iEHR) program&#39;s progress toward meeting cost, schedule, and performance milestones. However, the advisory board did not meet after June 2013 and was disbanded as a result of the departments&#39; decision to pursue separate modernizations of their electronic health record systems. Second, in August 2012, the departments established a working group under the Interagency Clinical Informatics Board to identify potential health IT investments for the departments to consider for joint adoption. However, the group has not met since June 2013, and according to DOD and VA officials, its activities have been suspended while the departments continue to define their separate modernization efforts and their electronic health data interoperability needs. Moreover, the group was not involved in helping the departments identify and select the separate electronic health record investments DOD and VA now plan to undertake to meet their common health care business needs. Because DOD and VA have not implemented a process for identifying and selecting joint IT investments, the departments have not demonstrated that their approach to meeting their common health care business needs has considered the costs, benefits, schedule, and risks of planned investments. As a result, VA and DOD lack reasonable assurance that they are pursuing the most cost-effective and timely course of action for delivering a fully interoperable electronic health record to provide the best possible care for service members and veterans."
029,GAO-11-265,Department of Veterans Affairs,310960,"To ensure that DOD and VA efficiently and effectively modernize their electronic health record systems to jointly address their common health care business needs, the Secretaries of Defense and Veterans Affairs should direct the Joint Executive Council to further develop the departments' joint health architecture to include their planned future (i.e., ""to be"") state and a sequencing plan for how they intend to transition from their current state to the next generation of electronic health record capabilities.","The Departments of Defense (DOD) and Veterans Affairs (VA) have not further developed a joint health architecture that could guide their efforts to address their common health care business needs, as GAO recommended in February 2011. The departments had undertaken certain actions, but these have been overtaken by events or are tangential to developing the architecture; thus progress in addressing GAO&#39;s recommendation has slowed. For example, in January 2013, the Interagency Program Office (IPO) developed an Enterprise Architecture Management Plan to provide guidance for developing joint architecture products, identify architecture governance bodies and stakeholder responsibilities, and propose high-level timelines for architecture-related activities. However, according to DOD and VA officials, this plan is no longer operative because it does not reflect the departments&#39; decision to pursue separate electronic health record system modernization efforts. In addition, in December 2013 the departments revised the charter of their IPO, which describes the importance of identifying and adopting health information technology (IT) standards to seamlessly integrate DOD and VA health care record data. The charter also specifies that the IPO is responsible for working with the departments&#39; Health Architecture Review Board to ensure that both departments are appropriately synchronized and coordinated. While these recent activities are peripherally related to development of the joint health architecture, DOD and VA have not yet developed architecture artifacts that describe their planned future state and how they intend to transition to that future state. Until the departments have an understanding of the common business processes and technologies that a joint health architecture can provide, they will continue to lack an essential tool for jointly addressing their common health IT needs."
